created_date,account_name,campaign_objective,impressions,reach,clicks,link_clicks,content_views,add_to_cart,purchase,purchase_value,amount_spent
2023-01-05,Client C - Fashion,Sales,724832,394665,51707,35156,6732,209,610,1422569,2490955
2023-01-05,Client D - Beauty,Traffic,157897,217797,50989,43070,0,0,0,0,3976840
2023-01-05,Client D - Beauty,Sales,656073,168924,54110,22447,2111,211,512,7331448,254201
2023-01-05,Client E - FMCG,Traffic,890523,207052,63136,38206,0,0,0,0,2273920
2023-01-05,Client E - FMCG,Sales,555745,470644,22747,31883,8854,533,912,3218226,3965475
2023-01-05,Client F - FMCG,Traffic,746328,431999,54828,10268,0,0,0,0,374099
2023-01-05,Client F - FMCG,Sales,337028,378104,82777,47995,8061,574,957,3294018,1010532
2023-01-06,Client A - Fashion,Traffic,106758,405314,10259,20002,0,0,0,0,1944100
2023-01-06,Client A - Fashion,Sales,289990,221385,11462,14356,6324,291,700,2894894,1301334
2023-01-06,Client B - Beauty,Traffic,823382,204707,85319,49298,0,0,0,0,3126156
2023-01-06,Client B - Beauty,Sales,165916,186509,92874,8349,6196,702,890,3225053,2558473
2023-01-06,Client C - Fashion,Traffic,366671,360328,82042,42780,0,0,0,0,131002
2023-01-06,Client C - Fashion,Sales,609191,247431,97907,26246,8919,970,646,7242160,2890262
2023-01-06,Client D - Beauty,Traffic,452833,441289,13580,33361,0,0,0,0,4535662
2023-01-06,Client D - Beauty,Sales,741722,433400,47030,10794,9491,945,467,2401932,747013
2023-01-06,Client E - FMCG,Traffic,722062,433561,91419,24482,0,0,0,0,1333841
2023-01-06,Client E - FMCG,Sales,949501,144827,94046,47996,9302,182,440,4977757,3074765
2023-01-06,Client F - FMCG,Traffic,855643,62273,55896,14115,0,0,0,0,1077923
2023-01-06,Client F - FMCG,Sales,712548,226715,21958,11434,1633,194,442,7733220,4553963
2023-01-07,Client A - Fashion,Traffic,114526,427883,77631,6867,0,0,0,0,2721679
2023-01-07,Client A - Fashion,Sales,699008,471251,97618,27201,4333,842,843,5966898,2967197
2023-01-07,Client B - Beauty,Traffic,595662,247549,88687,45344,0,0,0,0,2379652
2023-01-07,Client B - Beauty,Sales,209387,295226,46187,13450,3187,223,643,2584491,1079239
2023-01-07,Client C - Fashion,Traffic,507712,142476,22657,16640,0,0,0,0,1299718
2023-01-07,Client C - Fashion,Sales,743177,319210,21734,32394,5635,840,329,812045,4537713
2023-01-07,Client D - Beauty,Traffic,752114,239204,44107,48019,0,0,0,0,4396379
2023-01-07,Client D - Beauty,Sales,171116,425589,35673,9862,6935,763,27,2448948,3332840
2023-01-07,Client E - FMCG,Traffic,264269,333866,27829,26109,0,0,0,0,2457107
2023-01-07,Client E - FMCG,Sales,698139,399695,80549,49217,8876,845,317,6123737,3534389
2023-01-07,Client F - FMCG,Traffic,945721,332195,71059,32748,0,0,0,0,3069489
2023-01-07,Client F - FMCG,Sales,242400,303729,29251,40073,9875,928,238,6726051,2665850
2023-01-08,Client A - Fashion,Traffic,271835,74334,32672,7965,0,0,0,0,1796703
2023-01-08,Client A - Fashion,Sales,501514,453291,99638,48568,3808,694,784,2093945,2419516
2023-01-08,Client B - Beauty,Traffic,943719,385113,88945,44845,0,0,0,0,610540
2023-01-08,Client B - Beauty,Sales,102658,453168,75173,11430,4744,629,479,2890327,1535671
2023-01-08,Client C - Fashion,Traffic,325067,198889,43014,14952,0,0,0,0,170608
2023-01-08,Client C - Fashion,Sales,831177,321606,27870,10251,3854,285,578,2123236,3512254
2023-01-08,Client D - Beauty,Traffic,273274,352966,54835,17408,0,0,0,0,2221080
2023-01-08,Client D - Beauty,Sales,403995,54424,83160,49256,2289,959,339,153669,4366314
2023-01-08,Client E - FMCG,Traffic,789251,178761,22581,17764,0,0,0,0,4357158
2023-01-08,Client E - FMCG,Sales,625946,387890,46400,21144,8250,593,572,1170681,2188064
2023-01-08,Client F - FMCG,Traffic,554255,50375,32419,15489,0,0,0,0,854736
2023-01-08,Client F - FMCG,Sales,915969,207832,31842,10527,1090,204,641,4077070,838269
2023-01-09,Client A - Fashion,Traffic,451311,260121,92170,44214,0,0,0,0,2482109
2023-01-09,Client A - Fashion,Sales,613317,214362,59508,45662,2577,446,35,546869,4908572
2023-01-09,Client B - Beauty,Traffic,742175,309574,85870,28993,0,0,0,0,4266422
2023-01-09,Client B - Beauty,Sales,513964,202674,72000,43482,7857,390,696,6242704,2841689
2023-01-09,Client C - Fashion,Traffic,490919,157789,86462,40826,0,0,0,0,1730772
2023-01-09,Client C - Fashion,Sales,469170,184987,48032,34363,3721,440,650,3120823,4862929
2023-01-09,Client D - Beauty,Traffic,861251,439161,42461,49081,0,0,0,0,4776133
2023-01-09,Client D - Beauty,Sales,175131,306929,84073,22052,1723,307,745,4137232,1205894
2023-01-09,Client E - FMCG,Traffic,126113,283372,81816,5637,0,0,0,0,289795
2023-01-09,Client E - FMCG,Sales,486190,446251,39797,15671,7926,368,609,1524342,1777395
2023-01-09,Client F - FMCG,Traffic,464470,82536,36951,42642,0,0,0,0,433715
2023-01-09,Client F - FMCG,Sales,655378,342407,52826,47673,7536,342,107,186654,4202719
2023-01-10,Client A - Fashion,Traffic,565647,113073,47502,15672,0,0,0,0,1601886
2023-01-10,Client A - Fashion,Sales,861492,159147,24261,21198,8403,800,240,3758563,2861393
2023-01-10,Client B - Beauty,Traffic,326626,379751,97489,37796,0,0,0,0,1157297
2023-01-10,Client B - Beauty,Sales,912628,313643,87542,19909,5449,607,797,3544753,2766961
2023-01-10,Client C - Fashion,Traffic,503351,295112,13932,15044,0,0,0,0,320841
2023-01-10,Client C - Fashion,Sales,212569,374617,97095,30911,2781,467,598,129732,3043813
2023-01-10,Client D - Beauty,Traffic,962846,319908,14891,15892,0,0,0,0,4969934
2023-01-10,Client D - Beauty,Sales,544035,380484,71808,5876,4219,937,979,443549,1575081
2023-01-10,Client E - FMCG,Traffic,731887,275274,21310,47337,0,0,0,0,460155
2023-01-10,Client E - FMCG,Sales,944190,319764,33630,11625,1218,144,375,7198955,2360050
2023-01-10,Client F - FMCG,Traffic,712940,224174,46736,7644,0,0,0,0,4096806
2023-01-10,Client F - FMCG,Sales,787787,486773,25367,37690,6846,143,143,1209786,784731
2023-01-11,Client A - Fashion,Traffic,172465,123858,25595,12915,0,0,0,0,2480266
2023-01-11,Client A - Fashion,Sales,252004,470788,37421,33453,2964,542,45,3554379,2373404
2023-01-11,Client B - Beauty,Traffic,144639,372206,96146,33025,0,0,0,0,3376890
2023-01-11,Client B - Beauty,Sales,366330,209003,59458,7900,4554,633,548,3603201,3535520
2023-01-11,Client C - Fashion,Traffic,690177,160266,30179,31443,0,0,0,0,460683
2023-01-11,Client C - Fashion,Sales,102011,404251,72562,8752,8969,456,910,3872748,2587889
2023-01-11,Client D - Beauty,Traffic,462879,162757,53837,21896,0,0,0,0,2980896
2023-01-11,Client D - Beauty,Sales,932067,378909,48102,36441,1230,183,951,4397913,4796092
2023-01-11,Client E - FMCG,Traffic,198946,85042,46604,17294,0,0,0,0,4201984
2023-01-11,Client E - FMCG,Sales,577721,160838,44711,30154,2142,189,562,2003968,3815230
2023-01-11,Client F - FMCG,Traffic,470131,124237,24292,15546,0,0,0,0,2944900
2023-01-11,Client F - FMCG,Sales,186915,75137,91676,27191,9229,784,532,7313260,296222
2023-01-12,Client A - Fashion,Traffic,595214,368740,49721,17227,0,0,0,0,2594961
2023-01-12,Client A - Fashion,Sales,996330,178112,54165,15358,6950,542,479,5793283,1553221
2023-01-12,Client B - Beauty,Traffic,874654,199028,31943,48069,0,0,0,0,252097
2023-01-12,Client B - Beauty,Sales,698991,251927,93122,44243,6575,308,329,5358358,2920720
2023-01-12,Client C - Fashion,Traffic,343722,221984,96554,7945,0,0,0,0,338625
2023-01-12,Client C - Fashion,Sales,672453,335877,56170,47060,3625,939,709,3207478,1795830
2023-01-12,Client D - Beauty,Traffic,465204,363849,10913,49822,0,0,0,0,3381237
2023-01-12,Client D - Beauty,Sales,299616,348997,13390,12214,5670,615,577,6110552,1178140
2023-01-12,Client E - FMCG,Traffic,741198,357823,40123,12616,0,0,0,0,1001255
2023-01-12,Client E - FMCG,Sales,265858,484898,81355,31497,6461,432,386,5363537,3555374
2023-01-12,Client F - FMCG,Traffic,470725,471439,57639,40639,0,0,0,0,932478
2023-01-12,Client F - FMCG,Sales,565129,201564,94157,7608,8944,862,95,5285699,664157
2023-01-13,Client A - Fashion,Traffic,937788,164573,55642,28341,0,0,0,0,1909989
2023-01-13,Client A - Fashion,Sales,522283,486441,23428,30697,1122,936,288,6400096,4900125
2023-01-13,Client B - Beauty,Traffic,967308,479491,52053,20981,0,0,0,0,4645216
2023-01-13,Client B - Beauty,Sales,587483,56203,45501,25954,1609,915,224,7660851,2573715
2023-01-13,Client C - Fashion,Traffic,994085,271367,25879,19522,0,0,0,0,3299474
2023-01-13,Client C - Fashion,Sales,836439,219626,39634,27116,1610,272,832,6328482,1279799
2023-01-13,Client D - Beauty,Traffic,681985,395877,34776,8111,0,0,0,0,2081932
2023-01-13,Client D - Beauty,Sales,298647,251802,59369,36852,8733,757,232,678427,4195968
2023-01-13,Client E - FMCG,Traffic,830264,194430,81133,18264,0,0,0,0,363748
2023-01-13,Client E - FMCG,Sales,709184,417193,40994,49741,8595,278,494,6435104,549261
2023-01-13,Client F - FMCG,Traffic,544536,397352,63972,18524,0,0,0,0,3811867
2023-01-13,Client F - FMCG,Sales,718393,287134,83433,18664,8505,262,378,6832878,3389088
2023-01-14,Client A - Fashion,Traffic,245246,383598,66930,26259,0,0,0,0,4901325
2023-01-14,Client A - Fashion,Sales,801216,238477,67076,33183,8855,887,849,3787371,1228862
2023-01-14,Client B - Beauty,Traffic,219417,187497,54917,41294,0,0,0,0,3225612
2023-01-14,Client B - Beauty,Sales,847301,218459,37634,10532,1586,411,160,4500035,3322447
2023-01-14,Client C - Fashion,Traffic,128925,72503,48389,5908,0,0,0,0,1754254
2023-01-14,Client C - Fashion,Sales,662928,73008,30229,25802,6863,949,996,4096301,4749917
2023-01-14,Client D - Beauty,Traffic,213353,247741,95879,34445,0,0,0,0,1939375
2023-01-14,Client D - Beauty,Sales,967997,294875,97879,22568,1884,774,533,3582071,1675549
2023-01-14,Client E - FMCG,Traffic,879896,225524,63118,8143,0,0,0,0,3981849
2023-01-14,Client E - FMCG,Sales,321975,394810,84610,26204,8534,876,907,6880573,1190904
2023-01-14,Client F - FMCG,Traffic,142509,70092,72273,20813,0,0,0,0,1835469
2023-01-14,Client F - FMCG,Sales,218614,226165,90225,22505,7417,679,210,5428183,3400150
2023-01-15,Client A - Fashion,Traffic,460853,410649,92461,26674,0,0,0,0,3747900
2023-01-15,Client A - Fashion,Sales,130573,410016,83925,14649,9379,335,901,5937968,525274
2023-01-15,Client B - Beauty,Traffic,477998,81700,53149,30752,0,0,0,0,4791145
2023-01-15,Client B - Beauty,Sales,603578,138643,75041,20149,6423,924,515,2219427,755703
2023-01-15,Client C - Fashion,Traffic,497341,374029,62158,16955,0,0,0,0,4771398
2023-01-15,Client C - Fashion,Sales,744766,70284,76218,28974,5896,842,591,4477857,4676351
2023-01-15,Client D - Beauty,Traffic,501380,80770,61048,39550,0,0,0,0,4137615
2023-01-15,Client D - Beauty,Sales,619653,126104,41119,49839,2601,454,287,1581447,924545
2023-01-15,Client E - FMCG,Traffic,978808,431111,12037,39661,0,0,0,0,2191697
2023-01-15,Client E - FMCG,Sales,906051,473923,62524,24167,1937,701,220,995494,2828913
2023-01-15,Client F - FMCG,Traffic,864611,296000,79852,24520,0,0,0,0,3502504
2023-01-15,Client F - FMCG,Sales,291727,461806,70685,39910,7129,634,41,3429760,1393085
2023-01-16,Client A - Fashion,Traffic,292410,239604,96493,10364,0,0,0,0,4413658
2023-01-16,Client A - Fashion,Sales,466918,425869,12318,11692,8350,593,785,5910810,112615
2023-01-16,Client B - Beauty,Traffic,503357,213594,96766,14931,0,0,0,0,4156376
2023-01-16,Client B - Beauty,Sales,346321,50134,53690,38445,2278,661,718,1192115,4475237
2023-01-16,Client C - Fashion,Traffic,536919,259088,33112,8723,0,0,0,0,3483429
2023-01-16,Client C - Fashion,Sales,525223,85352,27776,31668,9909,373,523,5924661,2732851
2023-01-16,Client D - Beauty,Traffic,691253,365415,67593,42879,0,0,0,0,3467619
2023-01-16,Client D - Beauty,Sales,615349,476289,11922,31948,2434,947,659,725656,397509
2023-01-16,Client E - FMCG,Traffic,132278,480399,78989,30224,0,0,0,0,1394399
2023-01-16,Client E - FMCG,Sales,378320,218424,93189,45980,2907,843,604,661472,3026470
2023-01-16,Client F - FMCG,Traffic,824998,208494,90689,36870,0,0,0,0,2097930
2023-01-16,Client F - FMCG,Sales,149834,408331,78796,33070,1504,436,485,5224668,1306868
2023-01-17,Client A - Fashion,Traffic,388350,445343,77373,18874,0,0,0,0,947944
2023-01-17,Client A - Fashion,Sales,638255,167506,60718,25507,8146,302,641,3951179,3846390
2023-01-17,Client B - Beauty,Traffic,977141,247645,16324,19697,0,0,0,0,2622425
2023-01-17,Client B - Beauty,Sales,849413,370925,85084,29703,6214,427,672,7734344,854778
2023-01-17,Client C - Fashion,Traffic,366177,370175,57226,16326,0,0,0,0,1263234
2023-01-17,Client C - Fashion,Sales,107949,89234,31028,14156,2371,657,362,1546250,139777
2023-01-17,Client D - Beauty,Traffic,467249,330231,82926,46204,0,0,0,0,4301715
2023-01-17,Client D - Beauty,Sales,482365,214829,63711,30560,2139,522,144,2158283,3563072
2023-01-17,Client E - FMCG,Traffic,836500,367294,81833,30539,0,0,0,0,1284783
2023-01-17,Client E - FMCG,Sales,714422,497670,86112,7133,9677,611,754,7781472,364085
2023-01-17,Client F - FMCG,Traffic,735720,55202,28985,17498,0,0,0,0,4412678
2023-01-17,Client F - FMCG,Sales,955577,320795,28320,21932,2372,196,381,6078578,4011931
2023-01-18,Client A - Fashion,Traffic,170779,276901,50898,31360,0,0,0,0,798253
2023-01-18,Client A - Fashion,Sales,970248,341841,26973,46724,5307,922,318,6279771,2134542
2023-01-18,Client B - Beauty,Traffic,451474,308845,22423,47759,0,0,0,0,3297416
2023-01-18,Client B - Beauty,Sales,502248,218666,34000,49843,8523,109,882,4910813,3583715
2023-01-18,Client C - Fashion,Traffic,885114,432193,97897,42411,0,0,0,0,4011197
2023-01-18,Client C - Fashion,Sales,262089,133003,76216,11763,6366,506,502,1513487,3425506
2023-01-18,Client D - Beauty,Traffic,411429,163440,27121,5590,0,0,0,0,2955366
2023-01-18,Client D - Beauty,Sales,537935,381168,76050,37340,6363,697,590,3120484,3025859
2023-01-18,Client E - FMCG,Traffic,189950,279172,52864,45457,0,0,0,0,3938185
2023-01-18,Client E - FMCG,Sales,228480,342014,61810,30345,3506,317,872,7381162,1131394
2023-01-18,Client F - FMCG,Traffic,100358,443646,38277,35392,0,0,0,0,3008151
2023-01-18,Client F - FMCG,Sales,491931,337879,17358,35488,1782,541,344,472060,3909439
2023-01-19,Client A - Fashion,Traffic,708887,105469,81473,23893,0,0,0,0,2004310
2023-01-19,Client A - Fashion,Sales,683492,387124,22711,22203,7786,207,548,6327920,4566135
2023-01-19,Client B - Beauty,Traffic,433381,469676,72446,44672,0,0,0,0,357141
2023-01-19,Client B - Beauty,Sales,332184,210234,64562,43324,7805,538,459,861057,3759661
2023-01-19,Client C - Fashion,Traffic,595345,172039,44548,47768,0,0,0,0,831367
2023-01-19,Client C - Fashion,Sales,583600,286939,60237,27487,8568,241,757,2351403,4130848
2023-01-19,Client D - Beauty,Traffic,176751,290189,90575,11970,0,0,0,0,2091157
2023-01-19,Client D - Beauty,Sales,833132,187503,47073,23829,9939,339,766,2087161,1043723
2023-01-19,Client E - FMCG,Traffic,519008,435228,16408,20625,0,0,0,0,515919
2023-01-19,Client E - FMCG,Sales,811581,192901,79448,7805,1054,319,829,4199909,2112997
2023-01-19,Client F - FMCG,Traffic,544075,81190,25575,29699,0,0,0,0,2198678
2023-01-19,Client F - FMCG,Sales,637474,57938,37119,24283,1798,476,422,4864800,1765722
2023-01-20,Client A - Fashion,Traffic,722880,125279,97961,6878,0,0,0,0,3460420
2023-01-20,Client A - Fashion,Sales,295775,308013,95026,47306,3908,942,484,4615454,4618754
2023-01-20,Client B - Beauty,Traffic,396861,491521,15950,41090,0,0,0,0,2220518
2023-01-20,Client B - Beauty,Sales,979191,424513,80572,28528,4884,661,668,3016693,607110
2023-01-20,Client C - Fashion,Traffic,804146,234632,35059,9692,0,0,0,0,2253114
2023-01-20,Client C - Fashion,Sales,538506,460123,11008,41572,5521,980,92,3237736,4249665
2023-01-20,Client D - Beauty,Traffic,957078,88514,75680,28938,0,0,0,0,1933134
2023-01-20,Client D - Beauty,Sales,232148,90383,87309,5498,1903,400,973,6740008,3560795
2023-01-20,Client E - FMCG,Traffic,938562,156645,79832,40586,0,0,0,0,3450082
2023-01-20,Client E - FMCG,Sales,847103,202464,55126,43100,3552,434,137,2661015,2996052
2023-01-20,Client F - FMCG,Traffic,748800,200122,32428,24430,0,0,0,0,4080784
2023-01-20,Client F - FMCG,Sales,689691,342792,46348,24476,6725,120,197,1787396,4354903
2023-01-21,Client A - Fashion,Traffic,500188,497892,96662,36803,0,0,0,0,1240685
2023-01-21,Client A - Fashion,Sales,452872,83698,21558,9761,2461,780,422,7920805,1658154
2023-01-21,Client B - Beauty,Traffic,221420,284515,56599,30848,0,0,0,0,965074
2023-01-21,Client B - Beauty,Sales,930909,117491,36324,11567,2034,200,553,2554673,316263
2023-01-21,Client C - Fashion,Traffic,764144,171009,19761,33630,0,0,0,0,1357018
2023-01-21,Client C - Fashion,Sales,190111,172808,76131,32188,8142,663,17,6324430,878946
2023-01-21,Client D - Beauty,Traffic,225473,199054,43680,13694,0,0,0,0,2419884
2023-01-21,Client D - Beauty,Sales,612409,84268,91997,19780,5245,851,204,1031889,1590622
2023-01-21,Client E - FMCG,Traffic,864210,92476,47995,44521,0,0,0,0,4820935
2023-01-21,Client E - FMCG,Sales,211608,414608,69484,23997,1141,809,745,7284368,786974
2023-01-21,Client F - FMCG,Traffic,265420,396430,92102,30300,0,0,0,0,4474492
2023-01-21,Client F - FMCG,Sales,568228,440586,54714,7997,6396,588,940,7826449,483404
2023-01-22,Client A - Fashion,Traffic,585910,354001,10241,33250,0,0,0,0,1586930
2023-01-22,Client A - Fashion,Sales,874537,340374,31112,39222,9766,908,192,1858243,3910371
2023-01-22,Client B - Beauty,Traffic,335671,269526,99135,43893,0,0,0,0,3466428
2023-01-22,Client B - Beauty,Sales,582930,169853,39331,29980,3195,441,464,991322,2236264
2023-01-22,Client C - Fashion,Traffic,107869,82077,84856,43097,0,0,0,0,2958629
2023-01-22,Client C - Fashion,Sales,670723,261665,62413,45934,2586,267,42,6685306,1500341
2023-01-22,Client D - Beauty,Traffic,925741,290951,77118,13720,0,0,0,0,408893
2023-01-22,Client D - Beauty,Sales,905896,272270,18807,43316,7612,862,940,1495169,4694282
2023-01-22,Client E - FMCG,Traffic,394520,386549,32198,28514,0,0,0,0,3273376
2023-01-22,Client E - FMCG,Sales,794668,192398,11761,12050,4965,946,176,4041463,1208553
2023-01-22,Client F - FMCG,Traffic,281227,427408,84335,41797,0,0,0,0,782691
2023-01-22,Client F - FMCG,Sales,504028,388542,23717,32198,8097,385,481,1492888,3285665
2023-01-23,Client A - Fashion,Traffic,442221,120631,80722,28787,0,0,0,0,1731518
2023-01-23,Client A - Fashion,Sales,902058,452195,38915,11386,8464,382,173,4238604,4128117
2023-01-23,Client B - Beauty,Traffic,754430,101868,63904,34343,0,0,0,0,4691477
2023-01-23,Client B - Beauty,Sales,247502,429091,17808,37122,9589,515,990,992007,2900643
2023-01-23,Client C - Fashion,Traffic,758031,188129,87266,36771,0,0,0,0,3639162
2023-01-23,Client C - Fashion,Sales,382968,368805,33320,29372,3673,577,726,2855724,3593879
2023-01-23,Client D - Beauty,Traffic,203201,261161,59332,39264,0,0,0,0,2896338
2023-01-23,Client D - Beauty,Sales,328254,304887,17636,22629,3902,152,265,3221997,772285
2023-01-23,Client E - FMCG,Traffic,518391,197403,29957,20451,0,0,0,0,2069714
2023-01-23,Client E - FMCG,Sales,782470,138799,33077,17369,7864,843,159,6710765,2913507
2023-01-23,Client F - FMCG,Traffic,214993,451711,34251,29696,0,0,0,0,2864106
2023-01-23,Client F - FMCG,Sales,155769,479930,61009,49214,1212,637,842,4524402,3414800
2023-01-24,Client A - Fashion,Traffic,300556,332620,85055,25809,0,0,0,0,2099766
2023-01-24,Client A - Fashion,Sales,563091,218129,73488,45526,7446,187,857,6679685,4372913
2023-01-24,Client B - Beauty,Traffic,642015,93291,35946,35845,0,0,0,0,1749046
2023-01-24,Client B - Beauty,Sales,182374,277399,48360,18400,2006,307,234,4532469,1989765
2023-01-24,Client C - Fashion,Traffic,606845,474607,70148,27063,0,0,0,0,4183891
2023-01-24,Client C - Fashion,Sales,995186,109718,97594,20632,8857,750,391,3419456,2474068
2023-01-24,Client D - Beauty,Traffic,732855,477340,12099,42479,0,0,0,0,3725184
2023-01-24,Client D - Beauty,Sales,724576,281190,88805,12433,3031,906,660,7850983,3646325
2023-01-24,Client E - FMCG,Traffic,980515,484334,63675,14051,0,0,0,0,2128641
2023-01-24,Client E - FMCG,Sales,594200,397531,26009,12079,2985,348,353,7397129,4524772
2023-01-24,Client F - FMCG,Traffic,370626,268274,21690,20349,0,0,0,0,2920431
2023-01-24,Client F - FMCG,Sales,512370,353192,99387,35063,2795,670,892,4888764,3651349
2023-01-25,Client A - Fashion,Traffic,704557,207199,61220,7744,0,0,0,0,3033934
2023-01-25,Client A - Fashion,Sales,584940,137343,71587,25538,9928,946,458,326128,456025
2023-01-25,Client B - Beauty,Traffic,914662,188907,99112,46542,0,0,0,0,1323721
2023-01-25,Client B - Beauty,Sales,748100,406445,98774,36260,9599,808,84,2635688,4205694
2023-01-25,Client C - Fashion,Traffic,830901,426665,78131,38509,0,0,0,0,1527797
2023-01-25,Client C - Fashion,Sales,467447,87236,81120,40347,2062,612,760,5127232,3758594
2023-01-25,Client D - Beauty,Traffic,575162,266712,79443,22853,0,0,0,0,1815952
2023-01-25,Client D - Beauty,Sales,232119,318084,74448,14725,5035,169,404,7842102,1629031
2023-01-25,Client E - FMCG,Traffic,399040,491609,33324,21982,0,0,0,0,3913561
2023-01-25,Client E - FMCG,Sales,531152,444506,38517,11682,4246,532,335,4823726,3285848
2023-01-25,Client F - FMCG,Traffic,448796,153674,57068,20335,0,0,0,0,1350380
2023-01-25,Client F - FMCG,Sales,123435,324256,79118,30740,6036,491,505,6882131,2444182
2023-01-26,Client A - Fashion,Traffic,324306,228442,24656,21320,0,0,0,0,3457208
2023-01-26,Client A - Fashion,Sales,337845,138559,72871,17503,2826,153,346,7998662,4570602
2023-01-26,Client B - Beauty,Traffic,481488,69846,80117,42344,0,0,0,0,2241588
